network,station,channel,longitude,latitude,elevation,power_value,
ZE,1001,DP1,-150.234611,62.316507,111.2,1286.4931832097855,
ZE,1001,DP2,-150.234611,62.316507,111.2,1286.3867343795225,
ZE,1001,DPZ,-150.234611,62.316507,111.2,1268.7962925074542,
ZE,1002,DP1,-150.239369,62.325397,117.2,1191.7097447126162,
ZE,1002,DP2,-150.239369,62.325397,117.2,1182.7426663629196,
ZE,1002,DPZ,-150.239369,62.325397,117.2,1231.5277252988685,
ZE,1003,DP1,-150.24188,62.333558,120.4,1245.7558173467842,
ZE,1003,DP2,-150.24188,62.333558,120.4,1267.3409256618222,
ZE,1003,DPZ,-150.24188,62.333558,120.4,1265.878023361473,
ZE,1004,DP1,-150.249069,62.341842,133.2,1270.1178971427532,
ZE,1004,DP2,-150.249069,62.341842,133.2,1255.318090964244,
ZE,1004,DPZ,-150.249069,62.341842,133.2,1264.7803170792529,
ZE,1005,DP1,-150.25164,62.350754,128.6,1182.4342438242156,
ZE,1005,DP2,-150.25164,62.350754,128.6,1172.0047618150397,
ZE,1005,DPZ,-150.25164,62.350754,128.6,1224.9529080333593,
ZE,1006,DP1,-150.25395,62.359839,132.3,1207.1372074186115,
ZE,1006,DP2,-150.25395,62.359839,132.3,1145.876005490431,
ZE,1006,DPZ,-150.25395,62.359839,132.3,1225.6877647908098,
ZE,1007,DP1,-150.260137,62.368259,142.3,1240.3892507291098,
ZE,1007,DP2,-150.260137,62.368259,142.3,1247.7840474669301,
ZE,1007,DPZ,-150.260137,62.368259,142.3,1270.4384834212406,
ZE,1008,DP1,-150.267249,62.376361,150.7,1183.0879508543208,
ZE,1008,DP2,-150.267249,62.376361,150.7,1146.8936724565783,
ZE,1008,DPZ,-150.267249,62.376361,150.7,1210.8769658743352,
ZE,1009,DP1,-150.264155,62.385338,155.0,1153.2415525947988,
ZE,1009,DP2,-150.264155,62.385338,155.0,1161.1716893746739,
ZE,1009,DPZ,-150.264155,62.385338,155.0,1215.4321930985325,
ZE,1010,DP1,-150.262511,62.394232,151.0,1221.9521987201977,
ZE,1010,DP2,-150.262511,62.394232,151.0,1239.1803636706863,
ZE,1010,DPZ,-150.262511,62.394232,151.0,1247.2579830062703,
ZE,1011,DP1,-150.259042,62.402898,151.8,1258.5661049577454,
ZE,1011,DP2,-150.259042,62.402898,151.8,1270.3727017007384,
ZE,1011,DPZ,-150.259042,62.402898,151.8,1267.7173987627257,
ZE,1012,DP1,-150.258342,62.41227,168.5,1287.2433836726505,
ZE,1012,DP2,-150.258342,62.41227,168.5,1288.5659469797463,
ZE,1012,DPZ,-150.258342,62.41227,168.5,1275.6917456138299,
ZE,1013,DP1,-150.262009,62.420784,177.8,1236.8207380666036,
ZE,1013,DP2,-150.262009,62.420784,177.8,1201.50509310253,
ZE,1013,DPZ,-150.262009,62.420784,177.8,1257.952098802895,
ZE,1014,DP1,-150.264267,62.429493,175.6,1190.942545604001,
ZE,1014,DP2,-150.264267,62.429493,175.6,1202.8507217994463,
ZE,1014,DPZ,-150.264267,62.429493,175.6,1241.1589365993123,
ZE,1015,DP1,-150.264716,62.438481,176.3,1191.4988154276741,
ZE,1015,DP2,-150.264716,62.438481,176.3,1165.940451870268,
ZE,1015,DPZ,-150.264716,62.438481,176.3,1228.4272236221022,
ZE,1016,DP1,-150.269728,62.447191,175.8,1343.3300561792948,
ZE,1016,DP2,-150.269728,62.447191,175.8,1303.4976956666524,
ZE,1016,DPZ,-150.269728,62.447191,175.8,1292.2634126601706,
ZE,1017,DP1,-150.272099,62.45583,181.9,1277.8939236872204,
ZE,1017,DP2,-150.272099,62.45583,181.9,1273.6568753925105,
ZE,1017,DPZ,-150.272099,62.45583,181.9,1272.1481607002504,
ZE,1018,DP1,-150.270711,62.464822,198.0,1291.4396861857617,
ZE,1018,DP2,-150.270711,62.464822,198.0,1277.5280329520092,
ZE,1018,DPZ,-150.270711,62.464822,198.0,1284.2747762234062,
ZE,1019,DP1,-150.27098,62.473801,199.9,1291.072294572853,
ZE,1019,DP2,-150.27098,62.473801,199.9,1335.961696003086,
ZE,1019,DPZ,-150.27098,62.473801,199.9,1310.375964726416,
ZE,1020,DP1,-150.27504,62.482667,212.0,1318.5474527450924,
ZE,1020,DP2,-150.27504,62.482667,212.0,1323.5362590520251,
ZE,1020,DPZ,-150.27504,62.482667,212.0,1295.7414134876067,
ZE,1021,DP1,-150.274669,62.491673,205.8,1271.2534392014186,
ZE,1021,DP2,-150.274669,62.491673,205.8,1295.9677486031912,
ZE,1021,DPZ,-150.274669,62.491673,205.8,1282.7442476763442,
ZE,1022,DP1,-150.269662,62.50021,203.9,1186.1091118684,
ZE,1022,DP2,-150.269662,62.50021,203.9,1220.433099018649,
ZE,1022,DPZ,-150.269662,62.50021,203.9,1265.9426664547839,
ZE,1023,DP1,-150.259981,62.507966,192.5,1281.4069966422476,
ZE,1023,DP2,-150.259981,62.507966,192.5,1289.3419013481323,
ZE,1023,DPZ,-150.259981,62.507966,192.5,1296.6153393695329,
ZE,1024,DP1,-150.248743,62.515339,204.9,1238.8478687124111,
ZE,1024,DP2,-150.248743,62.515339,204.9,1271.155729077987,
ZE,1024,DPZ,-150.248743,62.515339,204.9,1285.536999173141,
ZE,1025,DP1,-150.238845,62.523016,213.2,1300.3545995422082,
ZE,1025,DP2,-150.238845,62.523016,213.2,1328.5498852244718,
ZE,1025,DPZ,-150.238845,62.523016,213.2,1321.3421882859764,
ZE,1026,DP1,-150.235428,62.53186,218.3,1325.5272765664572,
ZE,1026,DP2,-150.235428,62.53186,218.3,1323.6903736827294,
ZE,1026,DPZ,-150.235428,62.53186,218.3,1334.940222876192,
ZE,1027,DP1,-150.236285,62.540577,214.6,1313.3601980023636,
ZE,1027,DP2,-150.236285,62.540577,214.6,1286.3064125013518,
ZE,1027,DPZ,-150.236285,62.540577,214.6,1311.1243610019826,
ZE,1028,DP1,-150.237719,62.549146,221.8,1301.4610465254345,
