timestamp_NS,timestamp_SN,NS_picks,SN_picks,cross
1550141157.02390,1550144268.56558,245.12,302.47,n
1550485268.22333,1550488395.21968,295.94,155.81,n
1550571039.73312,1550575722.50032,350.97,341.51,n
1550657383.06597,1550662647.95934,259.98,359.64,n
1550745771.56777,1550753756.48434,260.3,395.7,n
1550921992.20300,1550918442.77880,282.06,376.99,y
1551090433.98402,1551093030.36979,354.52,343.87,n
1551176457.92021,1551180785.22983,284.34,321.78,n
1551262141.85350,1551267061.59241,322.58,322.64,n
1551350757.02390,1551352755.82882,299.48,326.13,n
1551697428.23492,1551699730.98183,356.88,341.51,n
1551788588.27551,1551785353.09641,280.06,345.82,y
1551871742.79329,1551875534.34077,265.81,336.77,y
1551962191.91872,1551958070.67146,202.66,267.8,n
1552128176.40607,1552135471.01372,252.1,316.67,n
1552301558.53224,1552297988.50180,259.26,328.49,y
1552383347.88687,1552395232.53366,252.8,374.46,n
1552469804.55402,1552479257.66492,337.96,410.44,n
1552557894.57866,1552560609.45029,315.28,398.98,n
1552729942.45104,1552733177.63014,254.64,378.1,n
1552901897.59535,1552904483.67800,285.91,334.41,n
1552989230.02754,1552992599.14718,200.75,358.14,n
